Symbol,Screener
BANKNIFTY,https://scanx.trade/stock-screener/index/nifty-bank
FINNIFTY,https://scanx.trade/stock-screener/index/nifty-financial-services
GOLDSTAR,https://scanx.trade/company/goldstar-power-ltd
MIDCPNIFTY,https://scanx.trade/stock-screener/index/nifty-midcap-select
NIFTY,https://scanx.trade/stock-screener/index/nifty-50
NIFTYNXT50,https://scanx.trade/stock-screener/index/nifty-next-50
360ONE,https://scanx.trade/company/360-one-wam-ltd
ABB,https://scanx.trade/company/abb-ltd
ABCAPITAL,https://scanx.trade/company/aditya-birla-capital-ltd
ADANIENSOL,https://scanx.trade/company/adani-transmission-ltd
ADANIENT,https://scanx.trade/company/adani-enterprises-ltd
ADANIGREEN,https://scanx.trade/company/adani-green-energy-ltd
ADANIPORTS,https://scanx.trade/company/adani-ports-sez-ltd
ADANIPOWER,https://scanx.trade/company/adani-power-ltd
ALKEM,https://scanx.trade/company/alkem-laboratories-ltd
AMBER,https://scanx.trade/company/amber-enterprises-india-ltd
AMBUJACEM,https://scanx.trade/company/ambuja-cements-ltd
ANGELONE,https://scanx.trade/company/angel-broking-ltd
APLAPOLLO,https://scanx.trade/company/apl-apollo-tubes-ltd
APOLLOHOSP,https://scanx.trade/company/apollo-hospitals-ltd
ASHOKLEY,https://scanx.trade/company/ashok-leyland-ltd
ASIANPAINT,https://scanx.trade/company/asian-paints-ltd
ASTRAL,https://scanx.trade/company/astral-poly-technik-ltd
AUBANK,https://scanx.trade/company/au-small-finance-bank-ltd
AUROPHARMA,https://scanx.trade/company/aurobindo-pharma-ltd
AXISBANK,https://scanx.trade/company/axis-bank-ltd
BAJAJ-AUTO,https://scanx.trade/company/bajaj-auto-ltd
BAJAJFINSV,https://scanx.trade/company/bajaj-finserv-ltd
BAJAJHLDNG,https://scanx.trade/company/bajaj-holdings-and-investments-ltd
BAJFINANCE,https://scanx.trade/company/bajaj-finance-ltd
BANDHANBNK,https://scanx.trade/company/bandhan-bank-ltd
BANKBARODA,https://scanx.trade/company/bank-of-baroda-ltd
BANKINDIA,https://scanx.trade/company/bank-of-india-ltd
BDL,https://scanx.trade/company/bharat-dynamics-ltd
BEL,https://scanx.trade/company/bharat-electronics-ltd
BHARATFORG,https://scanx.trade/company/bharat-forge-ltd
BHARTIARTL,https://scanx.trade/company/bharti-airtel-ltd
BHEL,https://scanx.trade/company/bhel-bharat-heavy-electricals-ltd
BIOCON,https://scanx.trade/company/biocon-ltd
BLUESTARCO,https://scanx.trade/company/blue-star-ltd
BOSCHLTD,https://scanx.trade/company/bosch-ltd
BPCL,https://scanx.trade/company/bharat-petroleum-ltd
BRITANNIA,https://scanx.trade/company/britannia-industries-ltd
BSE,https://scanx.trade/company/bse-ltd
CAMS,https://scanx.trade/company/cams-ltd
CANBK,https://scanx.trade/company/canara-bank-ltd
CDSL,https://scanx.trade/company/central-depository-services-ltd
CGPOWER,https://scanx.trade/company/cg-power-and-industrial-solutions-ltd
CHOLAFIN,https://scanx.trade/company/cholamandalam-investment-ltd
CIPLA,https://scanx.trade/company/cipla-ltd
COALINDIA,https://scanx.trade/company/coal-india-ltd
